primary_label,type,latitude,longitude,rating,filename,duration,has_coordinates,continent
barswa,call,46.4605,6.3914,2.5,barswa/XC113914.ogg,57.0775625,True,Europe
barswa,song,35.0307,-120.6205,4.5,barswa/XC129647.ogg,106.728,True,Americas
barswa,song,45.3675,-73.8566,3.0,barswa/XC132406.ogg,10.7885625,True,Americas
barswa,both,56.1559,47.4939,3.0,barswa/XC133096.ogg,11.57225,True,Europe
barswa,song,55.9937,-3.5605,3.0,barswa/XC133802.ogg,15.490625,True,Europe
barswa,song,51.4226,23.1201,5.0,barswa/XC134349.ogg,104.4375625,True,Europe
barswa,both,35.062,-85.166,4.0,barswa/XC135474.ogg,13.27021875,True,Americas
barswa,call,41.5811,1.8017,5.0,barswa/XC139171.ogg,5.04,True,Europe
barswa,both,30.0801,-99.5027,4.5,barswa/XC141346.ogg,24.50284375,True,Americas
barswa,song,46.154,-72.7455,3.5,barswa/XC141678.ogg,145.3191875,True,Americas
barswa,call,51.0383,3.9184,4.0,barswa/XC142633.ogg,44.95675,True,Europe
barswa,both,51.0383,3.9184,4.5,barswa/XC142794.ogg,71.758375,True,Europe
barswa,call,56.0561,46.6335,3.0,barswa/XC144039.ogg,67.3175625,True,Europe
barswa,call,41.2004,-73.8799,1.0,barswa/XC144361.ogg,7.0269375,True,Americas
barswa,call,55.6539,47.1405,2.0,barswa/XC145761.ogg,29.59675,True,Europe
barswa,call,50.738,9.6649,4.5,barswa/XC146746.ogg,21.1591875,True,Europe
barswa,call,53.061,11.457,4.5,barswa/XC147199.ogg,206.106125,True,Europe
barswa,song,39.8483,-5.6788,4.0,barswa/XC148900.ogg,32.5224375,True,Europe
barswa,call,,,1.0,barswa/XC169360.ogg,12.016,False,
barswa,call,,,1.0,barswa/XC171221.ogg,18.703,False,
barswa,both,37.4261,-5.9853,3.0,barswa/XC171237.ogg,30.72,True,Europe
barswa,both,,,3.0,barswa/XC171624.ogg,17.345,False,
barswa,call,,,1.0,barswa/XC176091.ogg,7.209,False,
barswa,song,,,2.0,barswa/XC176095.ogg,49.214,False,
barswa,song,,,2.0,barswa/XC176097.ogg,52.009,False,
barswa,song,60.3464,11.6468,4.0,barswa/XC177243.ogg,68.856,True,Europe
barswa,call,37.4868,-5.9435,4.0,barswa/XC178328.ogg,221.28325,True,Europe
barswa,call,,,3.0,barswa/XC179260.ogg,7.627,False,
barswa,call,37.2384,-6.1295,4.0,barswa/XC179356.ogg,36.048,True,Europe
barswa,call,48.3447,10.9154,3.0,barswa/XC182025.ogg,21.192,True,Europe
barswa,call,40.9663,68.7289,4.0,barswa/XC183794.ogg,11.20653125,True,Asia
